Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles Mis,Dribbles Dis,Receiving Rec,Receiving Prog
ar Argentina,24,57.4,7.7,5388,352,1424,2716,1293,157,5383,45,112,40.2,99,81,3868,210
au Australia,20,37.8,4,2155,306,882,910,378,46,2155,13,46,28.3,61,36,1236,65
be Belgium,20,57,3,2172,251,828,995,369,52,2172,19,45,42.2,47,24,1579,95
br Brazil,26,56.2,5.3,3772,254,938,1839,1020,162,3771,32,110,29.1,88,58,2718,186
cm Cameroon,22,41.7,3,1571,226,604,666,324,50,1571,24,55,43.6,39,24,943,58
ca Canada,19,52,3,1889,155,517,946,441,56,1889,31,82,37.8,52,30,1289,83
cr Costa Rica,22,31.3,3,1436,248,688,594,170,18,1436,17,37,45.9,43,31,812,36
hr Croatia,21,54.3,7.7,5288,505,1540,2699,1114,152,5288,40,99,40.4,106,70,3724,231
dk Denmark,20,60,3,2255,164,584,1162,525,68,2255,10,47,21.3,50,25,1570,128
ec Ecuador,18,53.3,3,1761,119,578,879,316,49,1760,13,43,30.2,65,25,1145,51
eng England,20,62.8,5,3630,231,1006,1891,770,114,3628,36,78,46.2,59,29,2734,180
fr France,24,51.3,7.3,4748,398,1276,2394,1133,174,4746,69,145,47.6,97,68,3235,181
de Germany,20,59.3,3,2311,174,588,1035,707,127,2310,31,64,48.4,44,41,1665,128
gh Ghana,20,42,3,1616,215,630,670,338,40,1615,27,57,47.4,46,34,963,61
ir IR Iran,21,36.7,3,1428,181,557,592,302,44,1427,11,34,32.4,38,19,753,54
jp Japan,22,35.8,4.3,2234,268,778,1024,453,66,2234,18,49,36.7,60,36,1302,77
kr Korea Republic,21,48.3,4,2401,232,712,1031,671,74,2401,13,54,24.1,47,26,1593,107
mx Mexico,21,54,3,1768,134,504,887,392,51,1768,19,43,44.2,50,30,1081,74
ma Morocco,25,39,7.3,3704,487,1556,1565,617,91,3704,50,126,39.7,126,53,2236,112
nl Netherlands,21,53,5.3,3509,341,1065,1789,678,74,3509,19,61,31.1,73,44,2439,145
pl Poland,21,37.3,4,1956,289,715,895,365,54,1954,17,50,34,57,30,1147,49
pt Portugal,24,60.4,5,3556,267,975,1722,878,103,3554,25,61,41,71,30,2595,162
qa Qatar,20,43,3,1661,180,584,839,251,24,1661,16,42,38.1,44,22,1122,48
sa Saudi Arabia,23,44.7,3,1551,186,493,674,409,64,1550,12,42,28.6,60,24,852,73
sn Senegal,20,44.8,4,2087,235,700,887,525,66,2086,26,59,44.1,60,45,1287,79
rs Serbia,22,51.3,3,1816,199,581,864,392,56,1816,9,28,32.1,49,22,1171,72
es Spain,21,75.8,4.3,4300,222,789,2596,937,87,4299,24,80,30,70,41,3500,169
ch Switzerland,24,49,4,2407,274,846,1098,485,54,2407,8,37,21.6,55,43,1645,115
tn Tunisia,21,44.3,3,1725,193,654,745,343,60,1725,19,46,41.3,52,49,977,86
us United States,20,53,4,2658,225,730,1254,696,91,2658,27,66,40.9,75,45,1778,118
uy Uruguay,19,48.7,3,1836,153,574,888,391,50,1836,9,34,26.5,51,27,1141,83
wls Wales,18,46.7,3,1699,211,629,754,322,40,1698,9,36,25,45,21,1021,64
